URL,Details
0,N/A
https://www.goodreads.com/user/show/14008088,Bangladesh
https://www.goodreads.com/user/show/107704225-rifat,"Female, Bangladesh"
https://www.goodreads.com/user/show/87324-tia,"Age 43, The United States"
https://www.goodreads.com/user/show/24175715,N/A
https://www.goodreads.com/user/show/148958882-dystopian,"Dhaka, 7300"
https://www.goodreads.com/user/show/2736147-riju-ganguly,N/A
https://www.goodreads.com/user/show/107928784-shariful-sadaf,"Age 27, Pasadena, CA"
https://www.goodreads.com/user/show/151393802-saumen,Male
https://www.goodreads.com/user/show/152995429,N/A
https://www.goodreads.com/user/show/94815246-soha,"Female, Dergaon, 03, India"
https://www.goodreads.com/user/show/19703758-sabrina-a,Bangladesh
https://www.goodreads.com/user/show/97513431-tamoghna-biswas,"Age 23, Male, Kolkata, India"
https://www.goodreads.com/user/show/54651494-rubell,N/A
https://www.goodreads.com/user/show/57123230-amanna-nawshin,Amanna Nawshin hasn't added any details yet.
https://www.goodreads.com/user/show/99185905-moumita-islam,"Female, Bangladesh"
https://www.goodreads.com/user/show/12508032-jyotsna,India
https://www.goodreads.com/user/show/119107935-abu-rayhan-rathi,"Age 21, Male, Bangladesh"
https://www.goodreads.com/user/show/145078410-mrittika,Mrittika hasn't added any details yet.
https://www.goodreads.com/user/show/3654176-stan-lanier,"Waycross, GA"
https://www.goodreads.com/user/show/23621066-shashini-vidanapathirana-abeysinghe,"Age 33, Colombo, Sri Lanka"
https://www.goodreads.com/user/show/9100524-riina,"Helsinki, 13, Finland"
https://www.goodreads.com/user/show/17834354-marina,Indonesia
https://www.goodreads.com/user/show/96554247-nilima-nili,Bangladesh
https://www.goodreads.com/user/show/43652633-saiful-sourav,Saiful Sourav hasn't added any details yet.
https://www.goodreads.com/user/show/111488640-zarif-hassan,"Dhaka, 81"
https://www.goodreads.com/user/show/93841856-koushik-ahammed,Bangladesh
https://www.goodreads.com/user/show/102486020-nilanjana-haldar,Age 33
https://www.goodreads.com/user/show/74773503-nusrat-faizah,"Female, Dhaka"
https://www.goodreads.com/user/show/4469709-pagladashu,"Toronto, ON, Canada"
https://www.goodreads.com/user/show/1597717-endah,"Age 56, Jakarta, 04, Indonesia"
https://www.goodreads.com/user/show/13091599-rizwan-khalil,N/A
https://www.goodreads.com/user/show/73221135-aishu-rehman,"Age 27, Male, Magura, Bangladesh"
https://www.goodreads.com/user/show/108499989-tiyas,Tiyas hasn't added any details yet.
https://www.goodreads.com/user/show/21786051-manzila,Bangladesh
https://www.goodreads.com/user/show/147579391-akash,Bangladesh
https://www.goodreads.com/user/show/56068189-khulud-binte-harun,"Age 24, Female, Sylhet, 86"
https://www.goodreads.com/user/show/65574059-hr-habibur-rahman,"Male, Sapahar, Rajshahi"
https://www.goodreads.com/user/show/53105643-ummea-salma,"Dhaka, 1217"
https://www.goodreads.com/user/show/93203716-nayeem,Bangladesh
https://www.goodreads.com/user/show/103293496-bookadmirer,"Age 28, Female, Dhaka"
https://www.goodreads.com/user/show/43309961-daina-chakma,Bangladesh
https://www.goodreads.com/user/show/44191110-tarinee,"Bhubaneshwar, 21, India"
https://www.goodreads.com/user/show/10051075-abhinav,Age 32
https://www.goodreads.com/user/show/87149498-samiha-kamal,"Age 25, Bangladesh"
https://www.goodreads.com/user/show/46735809-tasnim-dewan-orin,"Female, Dhaka"
https://www.goodreads.com/user/show/20310470-pranta-dastider,N/A
https://www.goodreads.com/user/show/55614051-sukanta-bhattacharjee,"Dhaka, 81"
https://www.goodreads.com/user/show/2989677-uttam-pal,"Age 36, Kolkata, West Bengal, India"
https://www.goodreads.com/user/show/122953955-sumaiya-akhter-lisa,Age 21
https://www.goodreads.com/user/show/97471334-adham-alif,Bangladesh
https://www.goodreads.com/user/show/138952578-sanowar-hossain,Male
https://www.goodreads.com/user/show/160261714-raisa-chowdhury,"Female, Dinajpur"
https://www.goodreads.com/user/show/118678585,N/A
https://www.goodreads.com/user/show/47528776-ibnul-shah,"Age 23, Male, Moulvibazar, Sylhet"
https://www.goodreads.com/user/show/45341691-israt-zaman-disha,"Dhaka, 1216"
https://www.goodreads.com/user/show/114460290-vimukti,"Male, Bangladesh"
https://www.goodreads.com/user/show/28748376-sabbir-ahmed,"Ishwardi, Pabna."
https://www.goodreads.com/user/show/4547588-susmit-chatterjee,"Age 36, Kolkata, 700120, India"
https://www.goodreads.com/user/show/112320834-nowrin-samrina-lily,N/A
https://www.goodreads.com/user/show/45279419-farzana-raisa,Comilla
https://www.goodreads.com/user/show/92389792-musharrat-zahin,"Female, Dhaka, 81"
https://www.goodreads.com/user/show/27605157-shaurav-saha,"Age 36, Dhaka, 81"
